"latitude (UTM)", "longitude (UTM)", "total area (m*m)", "mounded area (m*m)", "total volume (m*m*m)", "volume mound (m*m*m)", "max elevation mound (m)"
4072724.3, 591561.55, 113250, 11625, 88572.5, 49707.5, 4.28
4074465.5, 591578.23, 69350, 8850, 35400, 20269.5, 2.29
4091703.3, 591679.95, 6600, 275, 0, 872.575, 3.17
4075042.1, 591681.53, 109800, 225, 0, 1065.15, 4.73
4072083.3, 591684.95, 8025, 0, 2892, NA, NA
4078253.5, 591708.67, 116575, 1925, 0, 9656.25, 5.02
4107139.4, 591711.12, 85275, 12075, 60362.5, 25770, 2.13
4061364.5, 591717.78, 146200, 450, 0, 964.7, 2.14
4096915.4, 591783.2, 388675, 128500, 2674500, 173947.5, 13.5
4070430.6, 591783.95, 56050, 22450, 86292.5, 57022.5, 2.54
4107018.3, 591789.95, 4600, 0, 4.50975, NA, NA
4056916.5, 591809.26, 90750, 8625, 81712.5, 27985, 3.24
4116301.8, 591812.8, 129900, 42500, 1592350, 1057275, 24.8
4108272.1, 591814.05, 90500, 24750, 154982.5, 85532.5, 3.46
4054256, 591858.99, 142100, 45250, 291200, 218775, 4.85
4080573.3, 591999.95, 7900, 0, 0, NA, NA
4064308.3, 592014.95, 29350, 0, 0, NA, NA
4063610.1, 592026.32, 90075, 4400, 0, 6832, 1.55
4060103.8, 592063.5, 67150, 3550, 12340.25, 6096.5, 1.72
4110793.3, 592074.61, 248725, 124250, 532450, 41037.5, 3.31
4065328.3, 592122.54, 33075, 0, 0, NA, NA
4104826.3, 592130.01, 39000, 0, 31197.5, NA, NA
4074907.4, 592142.63, 112475, 8025, 46302.5, 28330, 3.53
4107358.3, 592159.95, 5800, 0, 5773, NA, NA
4113415.2, 592175.4, 77375, 8650, 19306.5, 16534.5, 1.91
4109765.1, 592224.55, 36575, 7875, 34990, 17796.5, 2.26
4064233.1, 592237.5, 54875, 4925, 0, 10612.75, 2.15
4061625, 592249.32, 78450, 5800, 0, 11152.5, 1.92
4106868.3, 592264.95, 22825, 0, 0, NA, NA
4111987.8, 592272.28, 72725, 8600, 42062.5, 23843.25, 2.77
4077872.4, 592281.27, 93800, 18350, 109147.5, 64332.5, 3.51
4069393.4, 592301.71, 75000, 0, 0, NA, NA
4066036.4, 592326.02, 15000, 0, 0, NA, NA
4059482.4, 592343.1, 25600, 4125, 39527.5, 13965.75, 3.39
4108026.7, 592393.83, 154275, 35250, 191582.5, 104422.5, 2.95
4073008.3, 592414.95, 36200, 0, 3132.5, NA, NA
4070457.4, 592454, 37350, 6000, 29765, 17176.75, 2.86
4106418.3, 592494.95, 95925, 0, 0, NA, NA
4073281.1, 592525.79, 239850, 118500, 770450, 678150, 5.72
4106498.6, 592536.39, 73350, 3350, 61165, 8457.5, 2.52
4078616, 592554.78, 194100, 21350, 2708.25, 66460, 3.11
4082034.4, 592588.77, 136575, 25500, 465150, 523950, 20.4
4095443.1, 592618.1, 298200, 6200, 165895, 51967.5, 8.38
4119444.1, 592619, 61675, 0, 5057, NA, NA
4063891.9, 592626.45, 26400, 0, 0, NA, NA
4069610.3, 592653.42, 29525, 0, 0, NA, NA
4062272.1, 592666.42, 98850, 7075, 1680.45, 11283.5, 1.59
4059986.7, 592678.09, 52200, 1450, 4245.5, 3482.5, 2.4
4076015.8, 592731.67, 374725, 98000, 944100, 561550, 5.73
4110794.2, 592791.79, 123025, 38500, 105367.5, 109102.5, 2.84
4060421.2, 592807.59, 23325, 0, 0, NA, NA
4060703.8, 592828.45, 17975, 0, 0, NA, NA
4116074.5, 592866.14, 389700, 2800, 530475, 57612.5, 20.6
4105678.3, 592914.95, 8025, 0, 0, NA, NA
